name,logo,box,content,cta,link,color,extraLogo,extraContent,color:
Monarchy,../images/businesses/monarchy-logo.png,../images/businesses/monarchy-box.png,"Il Motore Creativo, di Marketing e di Ricerca del gruppo. Il team di Monarchy si occupa della crescita dei nostri brand, aiutando i nostri CEO a raggiungere importanti avanzamenti nei modelli di business.",Visita Monarchy,https://monarchy.io,white,,,
Serendipity,../images/businesses/serendipity-logo.png,../images/businesses/serendipity-box.png,"La nostra azienda cinematografica che sta per lanciare la sua nuova serie ""Women of the Movement"" il 22 gennaio 2022 su ABC. Leggi di più <a class=""content-link"" href=""https://deadline.com/2020/08/abc-women-of-the-movement-limited-series-marissa-jo-cerar-jay-z-will-smith-kapital-gina-prince-bythewood-direct-1203025965/"">qui su Deadline.</a>",Visita Serendipity,https://srndpt.com/,white,../images/businesses/abc-logo.png,airing january 22 on,
Tenute di Donna,../images/businesses/didonna-logo.png,../images/businesses/didonna-box.png,"Il vino è arte e pura poesia. Tenute Di Donna ti porterà il sapore intenso del Primitivo di Puglia (Italia), uno dei migliori vini nel mondo. Un vino intenso, romantico, passionale ed innamorato. Un'esperienza di per sé.",Scopri di più,http://www.tenutedidonna.it/index.php,white,,,
AdyProduction,../images/businesses/adyproduction-logo.png,../images/businesses/adyproduction-box.png,"Scalare i business velocemente fino a 7 cifre e oltre. Il nostro approccio provato aiuta i CEO e gli executive a crescere i loro business rapidamente e stabilmente. Verifica se qualifichi per entrare nel nostro gruppo di accelerazione, ottieni un preventivo.",Ottieni un Preventivo,https://adyproduction.com/,white,,,
DMZ,../images/businesses/dmz-logo.png,../images/businesses/dmz-box.png,"Il nostro team di alto livello di gestione finanziaria, fiscale e di contabilità, ubicato in Italia. Con oltre 600 clienti, abbiamo uno dei team professionali più efficaci sul mercato. Se sei in Italia, il nostro gruppo è il migliore con cui connettersi. Contattaci e potremo aiutarti.",Ottieni un Preventivo,https://studiodmz.it/,,,,black
Viva Concepts,../images/businesses/viva-logo.png,../images/businesses/viva-box.png,"Viva Concepts è il marchio principale USA per il marketing degli studi dentistici. La nostra tecnologia e programmi aiutano gli studi dentistici ad aggiungere da $500,000 a $1,000,000 ai loro guadagni in dodici mesi o meno. Sei uno studio dentistico? Devi metterti in contatto con noi.",Entra in Contatto,https://www.majidtabs.com/,black,,,
Sales Jet,../images/businesses/sj-logo.png,../images/businesses/sj-box.png,"We need the most effective marketing tools to run our campaigns and projects, so we built one. Sales Jet is built by entrepreneurs for entrepreneurs. Want to learn more on how to use our marketing platform? Visita il nostro sito.",Esplora Sales Jet,https://salesjet.io/ita,white,,,
Body Contourz,../images/businesses/bc-logo.png,../images/businesses/bc-box.png,"Presentiamo il programma e la tecnologia più efficaci e sofisticati per la perdita di peso. Abbiamo appena lanciato il nostro franchising con due centri a Los Angeles, un centro ad Atlanta ed uno in Tampa (che aprirà presto). Garantiamo che perderai 5 centimetri nella tua prima seduta, o ti restituiremo i soldi.",Visita Body Contourz,https://bodycontourz.com/,black,,,
Upliffs,../images/businesses/upliffs-logo.png,../images/businesses/upliffs-box.png,"Il nostro brand di fitness e stile di vita, perché devi anche divertirti! Adoro questo brand, lanciato come capriccio durante la pandemia. Non riusciva a trovare un buon equipaggiamento per il fitness da casa, così ha deciso di costruire un'azienda su questo.",Visita Upliffs,https://upliffs.com/,black,,,
ANDA,../images/businesses/anda-logo.png,../images/businesses/anda-box.png,"Iniziato durante la pandemia per supportare gli imprenditori, il nostro show su Facebook ha raggiunto migliaia di imprenditori. Abbiamo intervistato 127 imprenditori e CEO di rilievo. La nuova stagione inizierà presto.",Visita ANDA,https://andaliveshow.com/,white,,,
